name,value
version_intraclass,0.1.0
version_psych,2.6.5
version_irr,0.85
version_irrICC,1.0
repository_intraclass,CRAN
balanced_intraclass_ICC1,0.165742
balanced_intraclass_ICC1k,0.442797
balanced_intraclass_ICCA1,0.289770
balanced_intraclass_ICCAk,0.620058
balanced_intraclass_ICCC1,0.714844
balanced_intraclass_ICCCk,0.909317
balanced_psych_ICC1,0.165742
balanced_psych_ICC1k,0.442798
balanced_psych_ICCA1,0.289764
balanced_psych_ICCAk,0.620051
balanced_psych_ICCC1,0.714842
balanced_psych_ICCCk,0.909316
balanced_irr_ICC1,0.165742
balanced_irr_ICC1k,0.442797
balanced_irr_ICCA1,0.289764
balanced_irr_ICCAk,0.620051
balanced_irr_ICCC1,0.714841
balanced_irr_ICCCk,0.909316
balanced_max_abs_gap,0.00000715543
irricc_icc2r,0.289764
irricc_abs_diff_ICCA1,0.00000625078
incomplete_complete_case_subjects,2
incomplete_intraclass_subjects,6
incomplete_intraclass_ratings,20
incomplete_intraclass_k_eff,3.27273
incomplete_psych_subjects,6
